"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
TEX,"9/20/2019 2 AM CDT",40375,40963,40337,-40
TEX,"9/20/2019 3 AM CDT",39505,39724,39497,-10
TEX,"9/20/2019 4 AM CDT",39059,38949,39038,-22
TEX,"9/20/2019 5 AM CDT",39328,39084,39303,-26
TEX,"9/20/2019 6 AM CDT",40979,40618,40962,-17
TEX,"9/20/2019 7 AM CDT",43798,43355,44187,388
TEX,"9/20/2019 8 AM CDT",45035,44230,45446,409
TEX,"9/20/2019 9 AM CDT",46272,45193,46667,394
TEX,"9/20/2019 10 AM CDT",49001,47317,49519,518
TEX,"9/20/2019 11 AM CDT",52011,50037,52562,551
TEX,"9/20/2019 12 PM CDT",54692,52658,55047,354
TEX,"9/20/2019 1 PM CDT",57280,55350,57585,305
TEX,"9/20/2019 2 PM CDT",59299,57848,59121,-178
TEX,"9/20/2019 3 PM CDT",61003,59614,60793,-211
TEX,"9/20/2019 4 PM CDT",62238,60368,61885,-354
TEX,"9/20/2019 5 PM CDT",62167,60436,61648,-519
TEX,"9/20/2019 6 PM CDT",60697,59683,60230,-467
TEX,"9/20/2019 7 PM CDT",58067,57593,57728,-340
TEX,"9/20/2019 8 PM CDT",55970,55659,55832,-139
TEX,"9/20/2019 9 PM CDT",54886,54324,54707,-180
TEX,"9/20/2019 10 PM CDT",52820,52003,52645,-175
TEX,"9/20/2019 11 PM CDT",50213,49020,49812,-402
TEX,"9/21/2019 12 AM CDT",47383,45921,47007,-377
TEX,"9/21/2019 1 AM CDT",44644,43175,44723,78
TEX,"9/21/2019 2 AM CDT",42529,41016,42666,137
TEX,"9/21/2019 3 AM CDT",41089,39567,41254,164
TEX,"9/21/2019 4 AM CDT",40130,38451,40294,164
TEX,"9/21/2019 5 AM CDT",39564,37933,39722,157
TEX,"9/21/2019 6 AM CDT",39779,38370,39932,152
TEX,"9/21/2019 7 AM CDT",40387,39214,40460,73
TEX,"9/21/2019 8 AM CDT",40999,39832,41141,142
TEX,"9/21/2019 9 AM CDT",43105,41699,43182,76
TEX,"9/21/2019 10 AM CDT",46591,44457,46600,8
TEX,"9/21/2019 11 AM CDT",49975,47619,49895,-81
TEX,"9/21/2019 12 PM CDT",52925,50709,53079,153
TEX,"9/21/2019 1 PM CDT",55725,53428,55802,76
TEX,"9/21/2019 2 PM CDT",58104,55818,58105,1
TEX,"9/21/2019 3 PM CDT",59732,57379,59773,40
TEX,"9/21/2019 4 PM CDT",60957,58401,60593,-365
TEX,"9/21/2019 5 PM CDT",61256,58751,60845,-411
TEX,"9/21/2019 6 PM CDT",60438,58082,60266,-172
TEX,"9/21/2019 7 PM CDT",58264,56424,58256,-9
TEX,"9/21/2019 8 PM CDT",56076,54691,56337,260
TEX,"9/21/2019 9 PM CDT",54559,53400,54691,132
TEX,"9/21/2019 10 PM CDT",52333,50946,52620,286
TEX,"9/21/2019 11 PM CDT",49618,47948,49792,173
TEX,"9/22/2019 12 AM CDT",46824,44951,46995,170
TEX,"9/22/2019 1 AM CDT",44199,43126,44377,177
TEX,"9/22/2019 2 AM CDT",42066,40925,42233,166
TEX,"9/22/2019 3 AM CDT",40497,39291,40537,40
TEX,"9/22/2019 4 AM CDT",39326,38117,39272,-54
TEX,"9/22/2019 5 AM CDT",38585,37544,38459,-127
TEX,"9/22/2019 6 AM CDT",38426,37685,38251,-175
TEX,"9/22/2019 7 AM CDT",38644,38254,38516,-129
TEX,"9/22/2019 8 AM CDT",38839,38618,38711,-129
TEX,"9/22/2019 9 AM CDT",40967,40397,40749,-218
TEX,"9/22/2019 10 AM CDT",44795,43377,44577,-219
TEX,"9/22/2019 11 AM CDT",48552,46801,48333,-219
TEX,"9/22/2019 12 PM CDT",52155,50133,51936,-219
TEX,"9/22/2019 1 PM CDT",55157,53279,54853,-304
TEX,"9/22/2019 2 PM CDT",57686,56124,56847,-840
TEX,"9/22/2019 3 PM CDT",59693,58032,58891,-802
TEX,"9/22/2019 4 PM CDT",60711,59387,59827,-885
TEX,"9/22/2019 5 PM CDT",60861,60095,59906,-955
TEX,"9/22/2019 6 PM CDT",60731,59832,59796,-935
TEX,"9/22/2019 7 PM CDT",59710,58305,58886,-824
TEX,"9/22/2019 8 PM CDT",58266,56746,57623,-643
TEX,"9/22/2019 9 PM CDT",57167,55418,56741,-427
TEX,"9/22/2019 10 PM CDT",54571,52778,54157,-414
TEX,"9/22/2019 11 PM CDT",50928,49339,51047,118
TEX,"9/23/2019 12 AM CDT",47283,45742,47415,131
TEX,"9/23/2019 1 AM CDT",44355,43269,,
TEX,"9/23/2019 2 AM CDT",42451,41086,,
TEX,"9/23/2019 3 AM CDT",41192,39658,,
TEX,"9/23/2019 4 AM CDT",40493,38944,,
TEX,"9/23/2019 5 AM CDT",40642,39188,,
TEX,"9/23/2019 6 AM CDT",42277,40891,,
TEX,"9/23/2019 7 AM CDT",44938,43660,,
TEX,"9/23/2019 8 AM CDT",45625,44777,,
TEX,"9/23/2019 9 AM CDT",46591,46055,,
TEX,"9/23/2019 10 AM CDT",49425,48390,,
TEX,"9/23/2019 11 AM CDT",52864,51480,,
TEX,"9/23/2019 12 PM CDT",56538,54880,,
TEX,"9/23/2019 1 PM CDT",59735,58056,,
TEX,"9/23/2019 2 PM CDT",62353,60875,,
TEX,"9/23/2019 3 PM CDT",63943,62579,,
TEX,"9/23/2019 4 PM CDT",64509,63562,,
TEX,"9/23/2019 5 PM CDT",64630,63761,,
TEX,"9/23/2019 6 PM CDT",64361,62979,,
TEX,"9/23/2019 7 PM CDT",62729,61102,,
TEX,"9/23/2019 8 PM CDT",60878,59190,,
TEX,"9/23/2019 9 PM CDT",59216,57598,,
TEX,"9/23/2019 10 PM CDT",56066,54752,,
TEX,"9/23/2019 11 PM CDT",52073,50774,,
TEX,"9/24/2019 12 AM CDT",48283,46778,,
TEX,"9/24/2019 1 AM CDT",45109,,,
TEX,"9/24/2019 2 AM CDT",42904,,,
TEX,"9/24/2019 3 AM CDT",41476,,,
TEX,"9/24/2019 4 AM CDT",40550,,,
TEX,"9/24/2019 5 AM CDT",40549,,,
TEX,"9/24/2019 6 AM CDT",41982,,,
TEX,"9/24/2019 7 AM CDT",44627,,,
